service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
Adoption 5.1,Adoption 5.1,EX,REG,Citizenship granted to an individual adopted by a Canadian Citizen.,Citoyenneté attribuée à une personne adoptée par un citoyen canadien.,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,Y,Y,N,Y,N,Y,cic,2017-2018,48,2,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadians/adopt-child-abroad/processes/choose-process/citizenship.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/canadiens/adopter-enfant-autre-pays/processus/choisir-processus/citoyennete.html,3.2.2,Y,N,0,5370,0,0,0,0,850,"ONL,TEL","Feedback: Clients fall under 'spouse, partner, children and other', but can't separate out adoption clients","Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-48,cic - 49,cic - Adoption 5.1,
Resumption 11(1) & 11(2),Réintégration 11(1) et 11(2),EX,REG,"Citizenship  granted to any person who was previously a Canadian citizen, whose citizenship was not revoked under the former or present Act, and who have met all the requirements to resume citizenship.","Citoyenneté attribuée à une personne ayant déjà eu la citoyenneté canadienne, qui n’a pas été révoquée en vertu de l’ancienne loi ni de la loi actuelle, mais que la personne peut réintégrer parce qu’elle a satisfait à toutes les exigences.","CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,Y,Y,N,Y,N,Y,cic,2017-2018,49,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/resume-canadian-citizenship.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/reintegrer-citoyennete-canadienne.html,3.2.2,Y,N,0,19398,0,0,0,0,33,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-49,cic - 50,cic - Resumption 11(1) & 11(2),
Revocation,Révocation,EX,REG,"Revocation of citizenship for false representation, fraud, or knowingly concealing material circumstances.",Révocation de la citoyenneté acquise par fraude ou au moyen d’une fausse déclaration ou de la dissimulation intentionnelle de faits essentiels.,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,NA,NA,NA,Y,N,Y,cic,2017-2018,50,2,https://www.canada.ca/en/immigration-refugees-citizenship/services/enforcement-violations-revoking-citizenship.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/application-loi-infractions-revocation-citoyennete.html,3.2.2,N,N,0,4089,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-50,cic - 51,cic - Revocation,
Renunciation of Citizenship,Répudiation de la citoyenneté,EX,REG,Renunciation of Canadian citizenship under section 9(1) of the Citizenship Act and the streamlined renunciation under section 11 of the Citizenship Regulations No. 2 for certain individuals who have Canadian citizenship.,Répudiation de la citoyenneté canadienne en vertu de l’article 9(1) de la Loi sur la citoyenneté et répudiation simplifiée aux termes de l’article 11 du Règlement n° 2 sur la citoyenneté pour certaines personnes ayant la citoyenneté canadienne,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,NA,NA,N,NA,N,Y,cic,2017-2018,51,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/renounce-canadian-citizenship.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/repudiation-citoyennete-canadienne.html,3.2.2,Y,N,0,18558,0,0,0,0,276,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-51,cic - 52,cic - Renunciation of Citizenship,
Proof of Citizenship,Preuve de citoyenneté,EX,REG,Issuance of proof of citizenship for travel and government services.,Délivrance de la preuve de citoyenneté aux fins des voyages et des services gouvernementaux,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,NA,NA,N,NA,N,Y,cic,2017-2018,52,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/proof-citizenship/about.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/preuve-citoyennete/au-sujet.html,3.2.2,Y,N,0,173640,0,0,0,0,63105,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-52,cic - 53,cic - Proof of Citizenship,
Recalls of Citizenship Certificate(s),Rappels de certificats de citoyenneté,EX,REG,A certificate of citizenship is recalled when it was issued in error or if the Registrar is of the opinion that the person to whom it was issued is not entitled to it.,Un certificat de citoyenneté est rappelé s’il a été délivré par erreur ou si le Greffier estime que la personne qui l’a obtenu n’y avait pas droit.,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,NA,NA,NA,N,N,Y,cic,2017-2018,53,8,NA,NA,3.2.2,N,N,0,0,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-53,cic - 54,cic - Recalls of Citizenship Certificate(s),
Search of Records,Recherche de documents,EX,REG,"Provides record of citizenship to requests by individuals, P/T business and other organizations.","Fournit un dossier de citoyenneté pour les demandes faites par des personnes, des organisations provinciales ou territoriales et d’autres organisations.","CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,54,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/proof-citizenship/search-records.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/preuve-citoyennete/recherche-dossiers.html,3.2.2,Y,N,0,34749,0,0,0,0,1277,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-54,cic - 55,cic - Search of Records,
"Citizenship Education &  Outreach 
Reaffirmation","Éducation à la citoyenneté et rayonnement 
Réaffirmation",EX,ED,Promote awareness of rights and responsibilities of a citizenship and encourage citizenship acquisition by Permanent Residents.,Contribuer à la connaissance des droits et des responsabilités liés à la citoyenneté et favoriser l’acquisition de la citoyenneté par les résidents permanents.,DCIA,LMCI,Citizenship,Citoyenneté,PP,NA,NA,NA,NA,NA,Y,Y,cic,2017-2018,55,8,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/discover-canada/read-online.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/organisation/publications-guides/decouvrir-canada/lisez-ligne.html,3.2.1,N,N,0,407259,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-55,cic - 56,"cic - Citizenship Education &  Outreach 
Reaffirmation",
Regular Passport,Passeport régulier,EX,REG,Issuance of regular passports. Includes issuance of temporary passports in conjunction with an application for a regular passport for clients abroad who require a passport urgently.,Délivrance de passeports réguliers. Comprend la délivrance de passeports temporaires concurremment avec la demande d’un passeport régulier pour les clients à l’étranger qui ont besoin d’obtenir d’urgence un passeport.,"CPO
Passport and Other Travel Document Services Fees Regulations","DPC
Règlement sur les droits pour les services de passeports et autres documents de voyage",Passport,Passport,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,56,1,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/new-adult-passport/apply.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/nouveau-passeport-adulte/demande.html,4.4,Y,N,0,2042862,0,4339491,0,0,587736,"IP,ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-56,cic - 57,cic - Regular Passport,
Diplomatic Passport,Passeport diplomatique,EX,REG,"Issuance of diplomatic passport to eligible officials, including diplomats and their dependents.","Délivrance de passeports diplomatiques à des responsables admissibles, y compris des diplomates et leurs personnes à charge.",DSPO,DPDS,Passport,Passport,IG,NA,N,N,N,N,NA,Y,cic,2017-2018,57,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/official-travel/special-diplomatic-adults.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/voyages-officiels/special-diplomatique-adultes.html,4.4,Y,N,0,12636,0,3002,0,0,0,"IP,ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-57,cic - 58,cic - Diplomatic Passport,
Special Passport,Passeport spécial,EX,REG,Issuance of official passport to military and other government officials and their dependents traveling a status other than diplomatic.,Délivrance de passeports officiels à des militaires et à d’autres fonctionnaires ainsi qu’à leurs personnes à charge qui voyagent avec un statut autre que diplomatique.,DSPO,DPDS,Passport,Passport,IG,NA,N,N,N,N,NA,Y,cic,2017-2018,58,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/official-travel/special-diplomatic-adults.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/voyages-officiels/special-diplomatique-adultes.html,4.4,Y,N,0,0,0,10947,0,0,0,"IP,ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-58,cic - 59,cic - Special Passport,
Certificate of Identity,Certificat d’identité,EX,REG,Issuance of travel documents to Permanent Residents in Canada who are stateless or otherwise unable to obtain a passport from the country of origin.,Délivrance de titres de voyage à des résidents permanents au Canada qui sont apatrides ou se trouvent dans l’impossibilité d’obtenir un passeport auprès du pays d’origine.,"Royal prerogative, Passport and Other Travel Document Services Fees Regulations","Prérogative royale, Règlement sur les droits pour les services de passeports et autres documents de voyage",Passport,Passport,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,59,2,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/travel-documents-non-canadians/apply.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/documents-voyage-ne-sont-canadiens/demande.html,4.4,Y,N,0,117756,0,187,0,0,437,"IP,ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-59,cic - 60,cic - Certificate of Identity,
Refugee Travel Document,Titre de voyage pour réfugiés,EX,REG,"Issuance of travel documents to protected persons, including convention refugees.","Délivrance de titres de voyage à des personnes protégées, y compris à des réfugiés au sens de la Convention.","IRPA, IRPR, Royal prerogative, Passport and Other Travel Document Services Fees Regulations","LIPR, RIPR, Prérogative royale, Règlement sur les droits pour les services de passeports et autres documents de voyage",Passport,Passport,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,60,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/travel-documents-non-canadians/apply.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/documents-voyage-ne-sont-canadiens/demande.html,4.4,Y,N,1,117756,0,3628,10,0,12078,"IP,ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-60,cic - 61,cic - Refugee Travel Document,
Emergency travel document,Titre de voyage d’urgence,EX,REG,Issuance of single journey travel document to Canadians abroad for urgent return to Canada or closest destination where passport services can be obtained.,Délivrance d’un titre de voyage d’aller simple à des Canadiens à l’étranger aux fins de retour urgent au Canada ou vers la destination la plus proche où des services de passeport peuvent être obtenus.,"Passport and Other Travel Document Services Fees Regulations
Royal prerogative","Passport and Other Travel Document Services Fees Regulations
Prérogative royale",Passport,Passport,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,61,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/travel-documents-non-canadians/temporary-passport.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens/documents-voyage-ne-sont-canadiens/provisoires.html,4.4,Y,N,0,35661,0,3458,0,0,0,"IP,ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-61,cic - 62,cic - Emergency travel document,
